Nr. Path1 Path2 Path3 Path4 
1 0.0251337 0.0145176 0.996331 0.974866 
2 0.164075 0.162753 0.024506 0.971526 
3 1 0.919262 0.150237 0 
4 1 0.0256538 0.843614 0.838656 
5 0.181773 0.0333707 0.991452 0.943009 
6 0.579122 0.0198779 0.994957 0.965721 
7 0.583113 0.0213944 0.58296 0.963146 
8 1 0.0400351 0.989696 0.542239 
9 1 0.0441606 0.153055 0.539924 
10 0.529124 0.0383792 0.501731 0.876101 
11 1 0.0721792 0.802517 0.652482 
12 0.137677 0.0834269 0.977902 0.763108 
13 0.385727 0.257331 0.926792 0 
